,Cities,Latitude,Longitude,max_temp,humidity,Cloudiness,Wind Speed,Country,Date
0,torbay,47.67,-52.73,35.01,97,90,19.46,CA,<class 'datetime.date'>
1,central point,42.38,-122.92,41.0,86,75,8.05,US,<class 'datetime.date'>
2,severo-kurilsk,50.68,156.12,29.07,92,38,4.41,RU,<class 'datetime.date'>
3,inhambane,-23.86,35.38,75.2,88,75,9.06,MZ,<class 'datetime.date'>
4,east london,-33.02,27.91,73.38,85,85,9.08,ZA,<class 'datetime.date'>
5,khatanga,71.97,102.5,-18.87,86,92,5.95,RU,<class 'datetime.date'>
6,taltal,-25.4,-70.48,61.11,74,10,1.05,CL,<class 'datetime.date'>
7,busselton,-33.65,115.33,86.0,38,0,5.01,AU,<class 'datetime.date'>
8,airai,-8.93,125.41,69.13,92,89,4.92,TL,<class 'datetime.date'>
9,punta arenas,-53.15,-70.92,48.2,76,97,8.05,CL,<class 'datetime.date'>
10,abha,18.22,42.51,50.0,76,0,4.7,SA,<class 'datetime.date'>
11,ushuaia,-54.8,-68.3,46.4,49,40,8.05,AR,<class 'datetime.date'>
12,manoel urbano,-8.84,-69.26,71.19,97,47,2.08,BR,<class 'datetime.date'>
13,yellowknife,62.46,-114.35,-27.0,73,90,12.75,CA,<class 'datetime.date'>
14,hithadhoo,-0.6,73.08,82.33,69,40,4.81,MV,<class 'datetime.date'>
15,saskylakh,71.92,114.08,-28.53,83,93,9.26,RU,<class 'datetime.date'>
16,ahuimanu,21.44,-157.84,78.8,69,40,16.11,US,<class 'datetime.date'>
17,xining,36.62,101.77,19.26,75,28,3.78,CN,<class 'datetime.date'>
18,rikitea,-23.12,-134.97,78.12,77,0,21.23,PF,<class 'datetime.date'>
19,port elizabeth,-33.92,25.57,68.0,100,90,8.05,ZA,<class 'datetime.date'>
20,tuatapere,-46.13,167.68,64.0,93,100,1.99,NZ,<class 'datetime.date'>
21,atuona,-9.8,-139.03,78.64,76,89,16.75,PF,<class 'datetime.date'>
22,sioux lookout,50.1,-91.92,5.0,77,20,9.17,CA,<class 'datetime.date'>
23,poum,-20.23,164.02,79.45,68,81,5.82,NC,<class 'datetime.date'>
24,lorengau,-2.02,147.27,85.24,73,85,7.2,PG,<class 'datetime.date'>
25,port alfred,-33.59,26.89,71.01,98,92,1.99,ZA,<class 'datetime.date'>
26,fortuna,40.6,-124.16,46.0,100,1,6.93,US,<class 'datetime.date'>
27,gamboma,-1.88,15.86,71.56,91,78,2.62,CG,<class 'datetime.date'>
28,srandakan,-7.94,110.25,84.2,71,12,11.92,ID,<class 'datetime.date'>
29,betare oya,5.6,14.08,62.31,42,47,0.92,CM,<class 'datetime.date'>
30,tiksi,71.69,128.87,-22.65,87,100,7.76,RU,<class 'datetime.date'>
31,baijiantan,45.63,85.18,12.67,88,0,1.1,CN,<class 'datetime.date'>
32,hobart,-42.88,147.33,61.0,51,75,16.11,AU,<class 'datetime.date'>
33,albany,42.6,-73.97,12.0,91,1,3.36,US,<class 'datetime.date'>
34,avarua,-21.21,-159.78,78.8,88,100,10.29,CK,<class 'datetime.date'>
35,san jose,37.34,-121.89,48.99,61,5,2.62,US,<class 'datetime.date'>
36,new norfolk,-42.78,147.06,61.0,51,75,16.11,AU,<class 'datetime.date'>
37,mahebourg,-20.41,57.7,80.6,83,40,11.41,MU,<class 'datetime.date'>
38,bardiyah,31.76,25.09,57.81,78,73,6.4,LY,<class 'datetime.date'>
39,mataura,-46.19,168.86,64.0,93,100,1.99,NZ,<class 'datetime.date'>
40,sambava,-14.27,50.17,81.97,63,90,9.37,MG,<class 'datetime.date'>
41,faanui,-16.48,-151.75,80.17,73,86,6.11,PF,<class 'datetime.date'>
42,linfen,36.09,111.52,36.07,60,95,3.15,CN,<class 'datetime.date'>
43,puerto ayora,-0.74,-90.35,71.01,94,33,5.95,EC,<class 'datetime.date'>
44,chitral,35.85,71.79,36.57,61,0,6.46,PK,<class 'datetime.date'>
45,malakal,9.53,31.66,72.37,26,44,9.51,SS,<class 'datetime.date'>
46,castro,-24.79,-50.01,62.78,95,1,3.02,BR,<class 'datetime.date'>
47,vostok,46.49,135.88,-10.01,89,100,9.22,RU,<class 'datetime.date'>
48,mar del plata,-38.0,-57.56,69.01,88,0,6.93,AR,<class 'datetime.date'>
49,sondrio,46.17,9.87,45.0,65,97,0.78,IT,<class 'datetime.date'>
50,bengkulu,-3.8,102.27,82.36,70,100,5.93,ID,<class 'datetime.date'>
51,itoman,26.12,127.67,68.0,77,75,24.16,JP,<class 'datetime.date'>
52,butaritari,3.07,172.79,81.77,81,100,13.15,KI,<class 'datetime.date'>
53,fairbanks,64.84,-147.72,-11.99,68,40,4.7,US,<class 'datetime.date'>
54,cape town,-33.93,18.42,66.99,88,0,11.41,ZA,<class 'datetime.date'>
55,arraial do cabo,-22.97,-42.03,74.37,91,77,9.8,BR,<class 'datetime.date'>
56,porto novo,6.5,2.6,77.2,90,26,1.5,BJ,<class 'datetime.date'>
57,yamoussoukro,6.82,-5.28,71.6,94,99,4.7,CI,<class 'datetime.date'>
58,almaznyy,48.04,40.05,30.2,86,75,6.71,RU,<class 'datetime.date'>
59,berlevag,70.86,29.09,23.86,95,79,9.82,NO,<class 'datetime.date'>
60,logansport,40.75,-86.36,32.0,92,1,12.75,US,<class 'datetime.date'>
61,georgetown,5.41,100.34,84.2,74,20,4.7,MY,<class 'datetime.date'>
62,hermanus,-34.42,19.23,69.01,78,5,3.0,ZA,<class 'datetime.date'>
63,tual,-5.67,132.75,84.88,74,89,9.62,ID,<class 'datetime.date'>
64,soto la marina,23.77,-98.22,68.0,83,10,8.01,MX,<class 'datetime.date'>
65,pevek,69.7,170.31,6.69,93,74,9.42,RU,<class 'datetime.date'>
66,salinas,36.68,-121.66,48.2,81,1,2.62,US,<class 'datetime.date'>
67,klaksvik,62.23,-6.59,42.8,100,4,17.22,FO,<class 'datetime.date'>
68,upernavik,72.79,-56.15,6.21,94,100,12.8,GL,<class 'datetime.date'>
69,kodiak,57.79,-152.41,26.6,92,90,6.93,US,<class 'datetime.date'>
70,kiruna,67.86,20.23,5.0,84,33,5.82,SE,<class 'datetime.date'>
71,leh,34.17,77.58,7.23,54,2,1.45,IN,<class 'datetime.date'>
72,san cristobal,7.77,-72.22,63.54,84,38,1.63,VE,<class 'datetime.date'>
73,lebu,-37.62,-73.65,53.38,89,100,6.29,CL,<class 'datetime.date'>
74,mattru,7.62,-11.83,72.99,97,29,1.54,SL,<class 'datetime.date'>
75,sola,-13.88,167.55,82.18,71,12,3.29,VU,<class 'datetime.date'>
76,the valley,18.22,-63.06,79.0,83,40,10.29,AI,<class 'datetime.date'>
77,ukiah,39.15,-123.21,45.0,81,1,1.88,US,<class 'datetime.date'>
78,kaitangata,-46.28,169.85,61.43,92,100,1.32,NZ,<class 'datetime.date'>
79,dikson,73.51,80.55,-21.28,89,100,6.13,RU,<class 'datetime.date'>
80,puerto madryn,-42.77,-65.04,62.4,60,84,10.07,AR,<class 'datetime.date'>
81,zaria,11.11,7.72,64.02,29,30,6.33,NG,<class 'datetime.date'>
82,bonga,7.28,36.23,64.29,64,56,1.63,ET,<class 'datetime.date'>
83,tiszanana,47.57,20.53,37.99,100,90,4.7,HU,<class 'datetime.date'>
84,tuktoyaktuk,69.45,-133.04,-23.8,74,40,6.93,CA,<class 'datetime.date'>
85,kavaratti,10.57,72.64,84.2,79,40,4.7,IN,<class 'datetime.date'>
86,katakwi,1.89,33.97,69.48,67,12,3.53,UG,<class 'datetime.date'>
87,imperia,43.97,7.78,53.6,62,75,9.17,IT,<class 'datetime.date'>
88,juneau,58.3,-134.42,39.2,80,90,8.84,US,<class 'datetime.date'>
89,naduvattam,11.48,76.57,65.44,57,41,5.26,IN,<class 'datetime.date'>
90,port macquarie,-31.43,152.92,72.0,100,90,11.41,AU,<class 'datetime.date'>
91,wageningen,51.97,5.67,45.0,100,37,11.41,NL,<class 'datetime.date'>
92,barra,-11.09,-43.14,77.0,66,88,4.56,BR,<class 'datetime.date'>
93,tautira,-17.73,-149.15,82.4,69,75,9.17,PF,<class 'datetime.date'>
94,cabo san lucas,22.89,-109.91,64.0,82,23,1.01,MX,<class 'datetime.date'>
