,Cities,Latitude,Longitude,max_temp,humidity,Cloudiness,Wind Speed,Country,Date
3,inhambane,-23.86,35.38,75.2,88,75,9.06,MZ,<class 'datetime.date'>
4,east london,-33.02,27.91,73.38,85,85,9.08,ZA,<class 'datetime.date'>
6,taltal,-25.4,-70.48,61.11,74,10,1.05,CL,<class 'datetime.date'>
7,busselton,-33.65,115.33,86.0,38,0,5.01,AU,<class 'datetime.date'>
8,airai,-8.93,125.41,69.13,92,89,4.92,TL,<class 'datetime.date'>
9,punta arenas,-53.15,-70.92,48.2,76,97,8.05,CL,<class 'datetime.date'>
11,ushuaia,-54.8,-68.3,46.4,49,40,8.05,AR,<class 'datetime.date'>
12,manoel urbano,-8.84,-69.26,71.19,97,47,2.08,BR,<class 'datetime.date'>
14,hithadhoo,-0.6,73.08,82.33,69,40,4.81,MV,<class 'datetime.date'>
18,rikitea,-23.12,-134.97,78.12,77,0,21.23,PF,<class 'datetime.date'>
19,port elizabeth,-33.92,25.57,68.0,100,90,8.05,ZA,<class 'datetime.date'>
20,tuatapere,-46.13,167.68,64.0,93,100,1.99,NZ,<class 'datetime.date'>
21,atuona,-9.8,-139.03,78.64,76,89,16.75,PF,<class 'datetime.date'>
23,poum,-20.23,164.02,79.45,68,81,5.82,NC,<class 'datetime.date'>
24,lorengau,-2.02,147.27,85.24,73,85,7.2,PG,<class 'datetime.date'>
25,port alfred,-33.59,26.89,71.01,98,92,1.99,ZA,<class 'datetime.date'>
27,gamboma,-1.88,15.86,71.56,91,78,2.62,CG,<class 'datetime.date'>
28,srandakan,-7.94,110.25,84.2,71,12,11.92,ID,<class 'datetime.date'>
32,hobart,-42.88,147.33,61.0,51,75,16.11,AU,<class 'datetime.date'>
34,avarua,-21.21,-159.78,78.8,88,100,10.29,CK,<class 'datetime.date'>
36,new norfolk,-42.78,147.06,61.0,51,75,16.11,AU,<class 'datetime.date'>
37,mahebourg,-20.41,57.7,80.6,83,40,11.41,MU,<class 'datetime.date'>
39,mataura,-46.19,168.86,64.0,93,100,1.99,NZ,<class 'datetime.date'>
40,sambava,-14.27,50.17,81.97,63,90,9.37,MG,<class 'datetime.date'>
41,faanui,-16.48,-151.75,80.17,73,86,6.11,PF,<class 'datetime.date'>
43,puerto ayora,-0.74,-90.35,71.01,94,33,5.95,EC,<class 'datetime.date'>
46,castro,-24.79,-50.01,62.78,95,1,3.02,BR,<class 'datetime.date'>
48,mar del plata,-38.0,-57.56,69.01,88,0,6.93,AR,<class 'datetime.date'>
50,bengkulu,-3.8,102.27,82.36,70,100,5.93,ID,<class 'datetime.date'>
54,cape town,-33.93,18.42,66.99,88,0,11.41,ZA,<class 'datetime.date'>
55,arraial do cabo,-22.97,-42.03,74.37,91,77,9.8,BR,<class 'datetime.date'>
62,hermanus,-34.42,19.23,69.01,78,5,3.0,ZA,<class 'datetime.date'>
63,tual,-5.67,132.75,84.88,74,89,9.62,ID,<class 'datetime.date'>
73,lebu,-37.62,-73.65,53.38,89,100,6.29,CL,<class 'datetime.date'>
75,sola,-13.88,167.55,82.18,71,12,3.29,VU,<class 'datetime.date'>
78,kaitangata,-46.28,169.85,61.43,92,100,1.32,NZ,<class 'datetime.date'>
80,puerto madryn,-42.77,-65.04,62.4,60,84,10.07,AR,<class 'datetime.date'>
90,port macquarie,-31.43,152.92,72.0,100,90,11.41,AU,<class 'datetime.date'>
92,barra,-11.09,-43.14,77.0,66,88,4.56,BR,<class 'datetime.date'>
93,tautira,-17.73,-149.15,82.4,69,75,9.17,PF,<class 'datetime.date'>
101,alice springs,-23.7,133.88,100.4,17,6,13.87,AU,<class 'datetime.date'>
102,vaini,-21.2,-175.2,78.8,94,90,18.34,TO,<class 'datetime.date'>
106,kindu,-2.95,25.95,69.08,98,100,1.88,CD,<class 'datetime.date'>
107,chuy,-33.7,-53.46,68.77,81,4,12.01,UY,<class 'datetime.date'>
112,manggar,-2.88,108.27,82.76,74,100,10.8,ID,<class 'datetime.date'>
115,sao gabriel da cachoeira,-0.13,-67.09,72.72,97,85,1.21,BR,<class 'datetime.date'>
118,lastoursville,-0.81,12.73,71.22,94,78,0.81,GA,<class 'datetime.date'>
122,santa vitoria do palmar,-33.52,-53.37,69.17,80,13,12.77,BR,<class 'datetime.date'>
123,bredasdorp,-34.53,20.04,62.6,88,72,2.24,ZA,<class 'datetime.date'>
130,bluff,-46.6,168.33,64.0,93,100,1.99,NZ,<class 'datetime.date'>
132,plettenberg bay,-34.05,23.37,69.21,74,0,1.32,ZA,<class 'datetime.date'>
133,iquitos,-3.75,-73.25,73.4,94,20,2.42,PE,<class 'datetime.date'>
134,bahia blanca,-38.72,-62.27,63.68,88,100,7.02,AR,<class 'datetime.date'>
136,toamasina,-18.17,49.38,78.8,88,20,4.7,MG,<class 'datetime.date'>
142,maceio,-9.67,-35.74,73.4,94,40,4.7,BR,<class 'datetime.date'>
158,geraldton,-28.77,114.6,86.0,37,0,20.8,AU,<class 'datetime.date'>
160,isangel,-19.55,169.27,86.0,58,40,9.17,VU,<class 'datetime.date'>
161,copiapo,-27.37,-70.33,57.2,82,0,8.05,CL,<class 'datetime.date'>
164,port hedland,-20.32,118.57,95.0,63,49,10.29,AU,<class 'datetime.date'>
167,karratha,-20.74,116.85,104.09,22,11,3.06,AU,<class 'datetime.date'>
169,necochea,-38.55,-58.74,70.25,64,98,14.54,AR,<class 'datetime.date'>
171,pujili,-0.95,-78.68,46.4,100,75,2.3,EC,<class 'datetime.date'>
176,coquimbo,-29.95,-71.34,57.2,76,0,6.93,CL,<class 'datetime.date'>
178,chicama,-7.84,-79.15,68.13,81,100,6.08,PE,<class 'datetime.date'>
181,codrington,-38.27,141.97,58.6,62,100,11.07,AU,<class 'datetime.date'>
190,jaguarari,-10.26,-40.2,67.1,91,5,5.01,BR,<class 'datetime.date'>
193,carnarvon,-24.87,113.63,80.6,69,0,19.46,AU,<class 'datetime.date'>
197,saint-pierre,-21.34,55.48,82.99,65,0,4.7,RE,<class 'datetime.date'>
198,cidreira,-30.18,-50.21,72.66,85,13,19.6,BR,<class 'datetime.date'>
199,tres arroyos,-38.37,-60.28,69.39,50,100,2.21,AR,<class 'datetime.date'>
205,bambous virieux,-20.34,57.76,81.0,83,40,11.41,MU,<class 'datetime.date'>
210,itaituba,-4.28,-55.98,73.87,96,93,0.65,BR,<class 'datetime.date'>
214,prado,-17.34,-39.22,75.25,90,16,6.13,BR,<class 'datetime.date'>
216,valparaiso,-33.04,-71.63,53.6,100,0,1.12,CL,<class 'datetime.date'>
221,auki,-8.77,160.7,84.06,73,68,6.89,SB,<class 'datetime.date'>
222,pisco,-13.7,-76.22,68.0,82,0,12.75,PE,<class 'datetime.date'>
223,hualmay,-11.1,-77.61,67.08,85,100,7.18,PE,<class 'datetime.date'>
224,alyangula,-13.85,136.42,80.6,94,75,5.82,AU,<class 'datetime.date'>
226,caravelas,-17.71,-39.25,74.61,92,50,4.29,BR,<class 'datetime.date'>
228,kruisfontein,-34.0,24.73,70.0,83,9,1.99,ZA,<class 'datetime.date'>
230,mount gambier,-37.83,140.77,66.2,48,75,5.82,AU,<class 'datetime.date'>
233,mendi,-6.18,143.65,59.83,99,99,1.16,PG,<class 'datetime.date'>
234,opuwo,-18.06,13.84,68.23,41,33,3.42,NA,<class 'datetime.date'>
235,ambilobe,-13.2,49.05,83.19,67,82,2.71,MG,<class 'datetime.date'>
239,alofi,-19.06,-169.92,82.4,78,100,10.29,NU,<class 'datetime.date'>
242,yeppoon,-23.13,150.73,95.0,41,15,9.17,AU,<class 'datetime.date'>
245,ancud,-41.87,-73.82,52.0,87,0,2.24,CL,<class 'datetime.date'>
247,san rafael,-34.62,-68.33,64.56,28,10,16.2,AR,<class 'datetime.date'>
256,mananara,-16.17,49.77,81.27,67,30,4.25,MG,<class 'datetime.date'>
259,dolores,-36.31,-57.68,76.55,50,69,15.86,AR,<class 'datetime.date'>
260,santa cruz do capibaribe,-7.96,-36.2,69.3,90,42,3.65,BR,<class 'datetime.date'>
262,vila velha,-20.33,-40.29,82.0,83,75,8.05,BR,<class 'datetime.date'>
263,saint-philippe,-21.36,55.77,82.99,65,0,4.7,RE,<class 'datetime.date'>
265,bowen,-20.02,148.23,95.0,39,58,12.75,AU,<class 'datetime.date'>
269,ambon,-3.7,128.18,89.6,66,40,4.7,ID,<class 'datetime.date'>
270,neuquen,-38.95,-68.06,59.0,67,90,23.04,AR,<class 'datetime.date'>
271,porto velho,-8.76,-63.9,75.2,94,20,1.12,BR,<class 'datetime.date'>
272,mount isa,-20.73,139.5,102.2,24,75,5.82,AU,<class 'datetime.date'>
273,byron bay,-28.65,153.62,82.99,74,40,13.87,AU,<class 'datetime.date'>
278,nelson bay,-32.72,152.15,72.0,77,90,14.99,AU,<class 'datetime.date'>
280,te anau,-45.42,167.72,58.32,91,100,3.09,NZ,<class 'datetime.date'>
282,flinders,-34.58,150.86,66.99,81,100,1.01,AU,<class 'datetime.date'>
285,charlestown,-32.95,151.67,70.0,92,100,10.47,AU,<class 'datetime.date'>
290,araguacu,-12.93,-49.83,77.02,71,64,2.75,BR,<class 'datetime.date'>
291,jardim,-21.48,-56.14,77.47,70,18,4.29,BR,<class 'datetime.date'>
294,burnie,-41.07,145.92,66.99,33,2,8.01,AU,<class 'datetime.date'>
297,menongue,-14.66,17.69,63.05,87,97,3.87,AO,<class 'datetime.date'>
300,pangkalanbuun,-2.68,111.62,83.62,80,100,7.45,ID,<class 'datetime.date'>
303,capao da canoa,-29.75,-50.01,72.54,88,34,17.07,BR,<class 'datetime.date'>
305,fomboni,-12.28,43.74,83.34,64,97,4.41,KM,<class 'datetime.date'>
308,kendari,-3.94,122.5,87.78,58,100,3.85,ID,<class 'datetime.date'>
310,roebourne,-20.78,117.13,103.41,24,5,8.61,AU,<class 'datetime.date'>
311,tefe,-3.35,-64.71,73.85,98,100,3.09,BR,<class 'datetime.date'>
324,talara,-4.58,-81.27,68.79,84,76,11.45,PE,<class 'datetime.date'>
329,thabazimbi,-24.59,27.41,64.99,96,100,2.42,ZA,<class 'datetime.date'>
334,esperance,-33.87,121.9,78.8,31,0,4.7,AU,<class 'datetime.date'>
339,kieta,-6.22,155.63,84.45,73,21,6.93,PG,<class 'datetime.date'>
342,touros,-5.2,-35.46,77.0,83,20,9.17,BR,<class 'datetime.date'>
347,luderitz,-26.65,15.16,57.2,93,0,2.24,NA,<class 'datetime.date'>
355,launceston,-41.45,147.17,69.01,39,40,17.22,AU,<class 'datetime.date'>
356,huarmey,-10.07,-78.15,67.35,85,98,6.26,PE,<class 'datetime.date'>
357,indramayu,-6.33,108.32,84.92,64,95,7.34,ID,<class 'datetime.date'>
362,vallenar,-28.57,-70.76,57.58,61,0,1.32,CL,<class 'datetime.date'>
364,dargaville,-35.93,173.88,68.99,66,88,8.39,NZ,<class 'datetime.date'>
367,imbituba,-28.24,-48.67,75.2,88,75,5.82,BR,<class 'datetime.date'>
368,inongo,-1.95,18.27,70.95,95,14,2.57,CD,<class 'datetime.date'>
370,maragogi,-9.01,-35.22,76.17,86,17,10.25,BR,<class 'datetime.date'>
376,vao,-22.67,167.48,75.92,73,1,16.31,NC,<class 'datetime.date'>
377,thio,-21.62,166.22,84.2,51,75,21.92,NC,<class 'datetime.date'>
383,beloha,-25.17,45.05,81.46,64,95,7.63,MG,<class 'datetime.date'>
